"Name","Type of Institution","Old Name","Date Reregistered","Street Address","Area","State","Telephone","Fax","website","eMail","Postal Address","Country","Ownership Type","Comments","Date Licensed"
"Sil-Theo Bureau De Change Limited","Bureau De Change","","4/25/2007","1, Bida Road, Onitsha","","ANA","08034752829; 046-212968","","","","","NGN","Domestic","","4/25/2007",
"Skygate Bureau De Change Limited","Bureau De Change","","","3rd Floor, Banusco House, No. 88/92, Broad Street","Lagos Island","LAG","","","","","","NGN","Domestic","","5/25/2009",
"Skyline Bureau De Change Limited","Bureau De Change","","2/20/2007","5, Abibu Oki Street, Marina","","LAG","","","","","","NGN","Domestic","","2/20/2007",
"Smart Cash Bureau De Change Limited","Bureau De Change","","10/22/2007","3rd Floor, Banuso House
88/89, Braod Street","Lagos Island","LAG","08034030226","","","","","NGN","Domestic","","10/22/2007",
"Smile Bureau De Change Limited","Bureau De Change","","6/22/2007","Woolworths Plaza, Suite 302, 3rd Floor, Plot 307, ","Lagos Island","LAG","01-4610481","","","","","NGN","Domestic","","6/22/2007",
"Smita Bureau De Change Limited","Bureau De Change","","2/20/2007","7th Floor, Elder Dempster House,
47, Marina-Lagos","","LAG","01-2664231; 08023051182; 08033232689","","","smitabdc@yahoo.com","","NGN","Domestic","","2/20/2007",
"Sochi Bureau De Change Limited","Bureau De Change","","12/21/2007","25, Bida Road, Odoakpu-Onitsha","","ANA","08035402111; 08034912939; 08035522925","","","","","NGN","Domestic","","12/21/2007",
"Solid Fortune Bureau De Change","Bureau De Change","","6/22/2007","Suite B58, Ikota Shopping Complex, VGC","Lagos Island","LAG","0802-3027780; 3685684, 01-2629771","","","","","NGN","Domestic","","6/22/2007",
"SOLVENT BDC LIMITED","Bureau De Change","","","15 alhaji tokan street western Avenue","","LAG","","","","","15 Alhaji Tokan Street Surulere, Lagos","NGN","","","",
"Splendid Bureau De Change","Bureau De Change","","6/22/2007","83, Aba/Owerri Road, Aba, Abia","","ABI","","","","","","NGN","Domestic","","6/22/2007",
"Spring Bureau De Change","Bureau De Change","","6/22/2007","Suite 20, Gateway Hotel, Otta, Ogun","","OGU","0802-3234136, 0803-2161211","","","","","NGN","Domestic","","6/22/2007",
"SRL Bureau De Change Limited","Bureau De Change","","11/27/2007","Suite 102, Fabdal Plaza, Plot 2219
Constantine Str","","ABU","","","","","","NGN","Domestic","","11/27/2007",
"Stajen Investment Ltd (Bureau De Change Limited)","Bureau De Change","","2/20/2007","12, Fess Abasili Avenue,
Alaba Int'l Market, Ojo","","LAG","08023120489","","","","","NGN","Domestic","","2/20/2007",
"Standard Bureau De Change","Bureau De Change","","6/22/2007","Mini Marble House, 73, Broad Street, Lagos","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Stand-Out Bureau De Change Limited","Bureau De Change","","10/5/2007","51, Marina Road, 2nd Floor","","LAG","08023517464; 08033035371","","","","","NGN","Domestic","","10/5/2007",
"Stanford Bureau De Change","Bureau De Change","","6/22/2007","64, Adeniyi Jones Avenue, Ikeja","","LAG","01-2716539, 0802-3061126; 5240394","","","","","NGN","Domestic","","6/22/2007",
"Starbags Bureau De Change Limited","Bureau De Change","","2/20/2007","22, Williams Street, Onitsha","","LAG","","","","","","NGN","Domestic","","2/20/2007",
"Starlet Bureau De Change Limited","Bureau De Change","","11/16/2007","1B, Apapa-Oshodi Expressway,
Sunrise, Apapa","","LAG","08023198766; 08037000000","","","","","NGN","Domestic","","11/16/2007",
"Status Bureau De Change","Bureau De Change","","6/22/2007","164, Awolowo Way, Ikoyi","Lagos Island","LAG","01-2692388; 7932125","","","","","NGN","Domestic","","6/22/2007",
"STB Bureau De Change Limited","Bureau De Change","","6/22/2007","1st Mutual Plaza, 161C-A, Raufu Taylor Close, Off ","Lagos Island","LAG","01-2616138","","","","","NGN","Domestic","","6/22/2007",
"Steadfast Trust Investment Limited (BDC)","Bureau De Change","","6/22/2007","2nd Floor, Suite 22, 51/52, Marina-Lagos","","LAG","01-2640523; 7936270; 8110626; 2640532","","","","","NGN","Domestic","","6/22/2007",
"STONE HILL BDC LIMITED","Bureau De Change","","","27 Deco Road","","DEL","","","","","27 Deco Road Warri Delta State.","NGN","","","",
"Success Bureau De Change Limited","Bureau De Change","","","No. 11, Bright Street, Onitsha","Onitsha","ANA","","","","","","NGN","Domestic","","5/25/2009",
"Sulah Bureau De Change Limited","Bureau De Change","","6/22/2007","82, Allen Avenue, Ikeja","Ikeja ","LAG","01-4975369","","","","","NGN","Domestic","","6/22/2007",
"Suleece Bureau De Change Limited","Bureau De Change","","7/26/2007","Pentagon House, 23, Opebi Road","","LAG","08034065109; 01-7738559; 8951540","","","","","NGN","Domestic","","7/26/2007",
"Sulelabbo Bureau De Change Limited","Bureau De Change","","11/19/2007","11, Kosoko Court/32, Kosoko Street
Off Ereko Stree","Lagos Island","LAG","08033204531; 01-2644123; 2669834","","","","","NGN","Domestic","","11/19/2007",
"Sundowns Bureau De Change Limited","Bureau De Change","","1/3/2008","7, Taiwo Street","Lagos Island","LAG","08033005403","","","","","NGN","Domestic","","1/3/2008",
"Sunfonia Bureau De Change","Bureau De Change","","6/22/2007","82, Isheri Road, Omole Phase 1, Ojodu, Ikeja","Ikeja ","LAG","01-8738715","","","","","NGN","Domestic","","6/22/2007",
"Sunshine Bureau De Change Limited","Bureau De Change","","6/22/2007","Investment House, 21/25, Broad Street, Lagos","","LAG","01-2664291","","","","","NGN","","","6/22/2007",
"Sunthel Trust Limited (BDC)","Bureau De Change","","6/22/2007","50, Opebi Road, Ikeja","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Supreme Edge Bureau De Change Limited","Bureau De Change","","6/22/2007","Block A2-16, Suite 195-197,
New Sura Shopping Comp","","LAG","08023123239","","","","","NGN","Domestic","","6/22/2007",
"Suradejo Bureau De Change Limited ","Bureau De Change","","7/27/2007","Suites 209-203, 
77B Mobolaji Bank Anthony Way","","LAG","08037192222","","","","","NGN","Domestic","","7/27/2007",
"Tago Bureau De Change Limited","Bureau De Change","","6/25/2007","18, Femi Okunnu Estate,
Phase 2, Lekki Peninsula","","LAG","","","","","","NGN","Domestic","","6/25/2007",
"Talas Nig. Limited (BDC)","Bureau De Change","","6/22/2007","55, Ibrahim Taiwo Road, Kano","","KAN","064-631423; 6444676","","","","","NGN","Domestic","","6/22/2007",
"Tanzila Bureau De Change Limited","Bureau De Change","","8/10/2007","24A, Commercial Road, Apapa","","LAG","07028007754; 08023040831; 01-4600281;  4600291","","","","","NGN","Domestic","","8/10/2007",
"Taru Bureau De Change Limited","Bureau De Change","","12/18/2007","C/o D' Consult, Suite 21, Phoenix Plaza
5, Subairu","","LAG","08022240061","","","","","NGN","Domestic","","12/18/2007",
"Tasmara Bureau De Change","Bureau De Change","","6/22/2007","10, Sani Adewale Street, Lagos","","LAG","01-2662072","","","","","NGN","Domestic","","6/22/2007",
"TD Soft Bureau De Change Limited","Bureau De Change","","10/5/2007","258B, Etim Nyang Crescent,
Victoria Island","","LAG","08082000000; 08034547930","","","","","NGN","Domestic","","10/5/2007",
"Tenere Bureau De Change Limited","Bureau De Change","","12/7/2006","1, Kosoko Street, Off Balogun Street,","","LAG","01-2664747; 2665096; 08033207100","","","","","NGN","Domestic","","12/7/2006",
"Tetrazzini Bureau De Change Limited","Bureau De Change","","","45, Ademola Adetokunbo Crescent, Wuse II","Wuse II","ABU","","","","","","NGN","Domestic","","5/25/2009",
"Thistle Bureau De Change Limited","Bureau De Change","","10/15/2007","21, Foresthe Street, Off Igbosere Street","Lagos Island","LAG","01-7623005; 08066687070","","","","","NGN","Domestic","","10/15/2007",
"Thom-a-Floy Nigeria Limited (BDC)","Bureau De Change","","6/22/2007","44B, Isale-eko Avenue, Dolphin Estate, Ikoyi","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Thygol Bureau De Change Limited","Bureau De Change","","","Infinity House, 11 Kaura Namoda Street","Garki","ABU","","","","","Off Faskari Crescent, Area 3 Garki","NGN","Domestic","","5/25/2009",
"Torotoroma Bureau De Change Limited","Bureau De Change","","6/22/2007","C110, Ramat Shopping Comlex,
","","BOR","0803792075; 08053377717","","","","Sir Kashim Ibrahim Road,","NGN","Domestic","","6/22/2007",
"Tourist Gardens Limited (BDC)","Bureau De Change","","6/22/2007","30A, Creek Road, Fegge Area, Onitsha","","ANA","","","","","","NGN","Domestic","","6/22/2007",
"Trade-Wise Bureau De Change","Bureau De Change","","6/22/2007","5th Floor, Bookshop House, 50/52, Broad Street, La","","LAG","01-2631903; 2645910","","","","","NGN","Domestic","","6/22/2007",
"Transfer International Limited (BDC)","Bureau De Change","","6/22/2007","1, Mobolaji Bank Anthony Way, Ikeja","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Transip Nigeria Limited (BDC)","Bureau De Change","","6/22/2007","6th Floor, Nicon House, 5, Customs Street, Marina","","LAG","01-2708762","","","","","NGN","Domestic","","6/22/2007",
"Travel Guaranty Bureau De Change Limited","Bureau De Change","","6/22/2007","Zone 4 Plaza, Plot 2249 Addis Ababa Crescent,","","ABU","08037000074","","","","Wuse Zone 4","NGN","Domestic","","6/22/2007",
"TRAVEL WAYS BURAEU DE CHANGE LIMITED","Bureau De Change","","","18 Isaac Jones Street","Ikeja, GRA","LAG","","","","","18, Isaac Jone Street. Ikeja  Lagos.","NGN","","","",
"Travel Xchange Bureau De Change ","Bureau De Change","","6/22/2007","Ifedara Plaza, 2nd Floor, 77B, Mobolaji Bank Antho","Ikeja ","LAG","01-7919969, 0802-3510852","","","","","NGN","Domestic","","6/22/2007",
"Travelex Retail Nigeria Limited (BDC)","Bureau De Change","","6/22/2007","23, Marina, Lagos","Lagos Island","LAG","01-2666764","","","","","NGN","Domestic","","6/22/2007",
"Travelways Bureau De Change Limited","Bureau De Change","","6/22/2007","Adebayo Centre, 27, Obafemi Awolowo Way, 2nd Floor","","LAG","01-4530531","","","","","NGN","Domestic","","6/22/2007",
"Trinitas Bureau De Change Limited","Bureau De Change","","6/22/2007","1-5, Ikwuato Street, Uwani, Enugu","","ENU","042-282727","","","","","NGN","Domestic","","6/22/2007",
"Trinity Bureau De Change Limited","Bureau De Change","","8/29/2007","11, Martins Street ","Lagos Island","LAG","0703400091; 046-320204; 217444","","","","","NGN","Domestic","","8/29/2007",
"Tripple Bureau De Change Limited","Bureau De Change","","","No. 1, Illo Avenue, Fagge, Kano, Kano State","","KAN","","","","","No. 1, Illo Avenue, Fagge, Kano, Kano State","NGN","Domestic","Licensed as bureau de change","",
"True Trust Bureau De Change","Bureau De Change","","6/22/2007","5, Custom Street, Lagos","","LAG","01-4828834","","","","","NGN","Domestic","","6/22/2007",
"Trust Bureau De Change Limited","Bureau De Change","","6/22/2007","107A, Allen Avenue, Ikeja","","LAG","01-7753484; 7758305; 7756508; 7764808, 0803-323355","","","","","NGN","Domestic","","6/22/2007",
"TrustHouse Holdings Limited (BDC)","Bureau De Change","","6/22/2007","4B, Mobolaji Bank Anthony Way, Maryland,Lagos","Ikeja ","LAG","","","","","","NGN","Domestic","","6/22/2007",
"TSB Bureau De Change Limited","Bureau De Change","","2/22/2007","41, Pike Street","Lagos Island","LAG","","","","","","NGN","Domestic","","2/22/2007",
"Tubs Bureau De Change Limited","Bureau De Change","","6/22/2007","Plot 85B, Ajose Adeogun Street, V/Island","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Tunass Bureau De Change Limited","Bureau De Change","","7/2/2007","124-126, Idimu Road, Gobbi Plaza
Egbeda-Lagos","","LAG","01-8919115","","","","","NGN","Domestic","","7/2/2007",
"Ultimate Bureau De Change Limited","Bureau De Change","","3/19/2007","17, Constantine Street, Suite 300
2nd Floor, FABDA","","ABU","08037862015","","","","","NGN","Domestic","","3/19/2007",
"Umsad Bureau De Change Limited","Bureau De Change","","6/22/2007","18E, Bello Road, Kano","","KAN","","","","","","NGN","Domestic","","6/22/2007",
"Umsalem Bureau De Change","Bureau De Change","","6/22/2007","7, Sulu Bolaji Street, Off Abibu Oki Street, Lagos","","LAG","01-2642928, 0803-3340807, 0807-2662704","","","","","NGN","Domestic","","6/22/2007",
"UNICAL Bureau De Change Limited","Bureau De Change","","7/16/2007","University of Calabar,","Calabar","CRO","","","","","PMB 1115","NGN","Domestic","","7/16/2007",
"Unique Bureau De Change","Bureau De Change","","6/22/2007","11, Abibu Oki Street, Lagos","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Unity Bureau De Change Limited","Bureau De Change","","6/22/2007","Plot 1673, Oyin Jolayemi Street, V/Island","","LAG","01-4613358","","","","","NGN","Domestic","","6/22/2007",
"Val Bureau De Change Limited","Bureau De Change","","8/24/2007","4, James Robertson Street","SuruLere","LAG","08023223688; 01-4342866; 4803306","","","","","NGN","Domestic","","8/24/2007",
"Valuebond Bureau De Change Limited","Bureau De Change","","","Suite BS 41C, Old Banex Plaza, Aminu Kano Cresc.","Wuse II","ABU","08057926877","","","","","NGN","Domestic","","10/8/2009",
"Veritas Bureau De Change","Bureau De Change","","6/22/2007","32, Bajulaiye Road, Shomolu, Lagos","","LAG","01-5820675; 2646423","","","","","NGN","Domestic","","6/22/2007",
"Vicgeorge Bureau De Change Limited","Bureau De Change","","10/23/2007","Suite 8, Block 7, Opposite Mobitel Exchange;
Trade","","LAG","08069422797","","","","","NGN","Domestic","","10/23/2007",
"Victorious Bureau De Change Limited","Bureau De Change","","11/21/2007","Suite C6, Adeniran Ogunsanya Shopping Complex,","","LAG","01-8963245; 4345809; 08033085046","","","","","NGN","Domestic","","11/21/2007",
"Villagolf Bureau De Change Limited","Bureau De Change","","11/20/2007","8th Floor, Reinsurance House,
46, Marina","Lagos Island","LAG","08023703489; 01-8924706","","","","","NGN","Domestic","","11/20/2007",
"Vine Yard Bureau De Change Limited","Bureau De Change","","2/22/2007","32, Enugu Road, Nkpor","","ANA","08033817080","","","","","NGN","Domestic","","2/22/2007",
"Virtual Bureau De Change Limited","Bureau De Change","","12/21/2007","Plot 1673, Oyin Jolayemi Street,
Victoria Island","","LAG","08033014866; 08060908311; 01-7907725","","","","","NGN","Domestic","","12/21/2007",
"Wada Kura Investment Limited (BDC)","Bureau De Change","","6/22/2007","39E, Ado Bayero Road, Kano","","KAN","","","","","","NGN","Domestic","","6/22/2007",
"Waitaker Bureau De Change Limited","Bureau De Change","","10/22/2007","333, Gidan Isa Kafinta, Shop 81,
1st Floor, Near F","","KAN","08033119326; 08054363291","","","waitakerbdc@yahoo.com","Fagge Ta kudu, K/Kwari Market","NGN","Domestic","","10/22/2007",
"Waram Bureau De Change Limited","Bureau De Change","","","17, Club Road, Besides Hamdala Hotel, Kaduna","","KAD","'08027338135","","","","17, Club Road, Besides Hamdala Hotel, Kaduna","NGN","Domestic","","4/30/2007",
"West Cliff Bureau De Change","Bureau De Change","","6/22/2007","13, Odejaiye Crescent, Surulere","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Westron Finance Limited (BDC)","Bureau De Change","","6/22/2007","47/57, Martins Street, Lagos","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"White House Bureau De Change","Bureau De Change","","6/22/2007","Travel House, Opp. Afribank Plc., Bank Road, Dugbe","","OYO","02-2411691; 2414129; 2412467; 7513017, 0806-715331","","","","","NGN","Domestic","","6/22/2007",
"White Rock Bureau De Change","Bureau De Change","","6/22/2007","12, Samuel Manuwa Street, V/Island","","LAG","01-4611731; 4611734","","","","","NGN","Domestic","","6/22/2007",
"Whittis Bureau De Change","Bureau De Change","","6/22/2007","12, Beckley Street, Onikan, Lagos","","LAG","01-2602194-6","","","","","NGN","Domestic","","6/22/2007",
"Winners Bureau De Change Limited","Bureau De Change","","7/16/2007","1, Bida Road, Onitsha","","ANA","08037080182","","","","","NGN","Domestic","","7/16/2007",
"Wisdom Bureau De Change Limited","Bureau De Change","","10/12/2007","3, Ilupeju Bye Pass, Ilupeju","","LAG","01-4759138; 08023509347","","","wisdom@bureaudechange.com","","NGN","Domestic","","10/12/2007",
"WOODLAND BUREAU DE CHANGE","Bureau De Change","","","15 Samek Road,","","IMO","","","","","PMB 1501 Owerri, Imo State.","NGN","","","",
"X-Cell Bureau De Change","Bureau De Change","","6/22/2007","Suite 71, Dolphin Plaza, Dolphin Estate, Ikoyi","","LAG","01-4613426","","","","","NGN","Domestic","","6/22/2007",
"Y.A. Gamandi Bureau De Change Limited","Bureau De Change","","6/11/2007","59B, Murtala Mohammed Way, Wapa Cinema, Kano","","KAN","064-632881","064-633693","","yagamand@yahoo.com","","NGN","","","6/11/2007",
"Yadanm Bureau De Change Limited","Bureau De Change","","","c/o Suite 208/209, Dunes Plaza, Aguiyi Ironsi Stre","","ABU","","","","","c/o Suite 208/209, Dunes Plaza, Aguiyi Ironsi Stre","NGN","Domestic","","7/27/2007",
"Yadin Biyadin Bureau De Change","Bureau De Change","","6/22/2007","20, Sanni Adewale Street, Off Breadfruit Street, L","","LAG","01-2669587; 2640639, 0803-3312007","","","","","NGN","Domestic","","6/22/2007",
"Yalof Bureau De Change Limited","Bureau De Change","","2/22/2007","27, Oduwobi Street, Ilupeju","","LAG","08034051270; 08033762221","","","","","NGN","Domestic","","2/22/2007",
"Ya'rabba Bureau De Change LImited","Bureau De Change","","6/22/2007","123, Sultan Bello Road, Sokoto","","SOK","060-234389; 234881","","","","","NGN","Domestic","","6/22/2007",
"Yarawalo Bureau De Change Limited","Bureau De Change","","11/19/2007","10, Sani Adewale Street ","","LAG","01-2642565; 2644203","","","","","NGN","Domestic","","11/19/2007",
"Yasaf Bureau De Change Limited","Bureau De Change","","12/18/2007","C/o 57, Hotoro Quarters,
Nassarawa Local Govt Area","","KAN","08025526600","","","","","NGN","Domestic","","12/18/2007",
"Yayari Bureau De Change","Bureau De Change","","6/22/2007","4, Sani Adewale Street, Lagos Island","","LAG","01-2641884, 0803-3003056, 0802-5100453","","","","","NGN","Domestic","","6/22/2007",
"Yellema Bureau De Change Limited","Bureau De Change","","6/22/2007","Plot 5, Imam Abib Adetoro Street, Off Ajose Adeogu","","LAG","01-4619301-2","","","","","NGN","Domestic","","6/22/2007",
"YELMA FINANCE BDC LIMITED","Bureau De Change","","","70 /72 martins street","Lagos Isaland","LAG","","","","","70 / 72 Martins Street , Lagos.","NGN","","","",
"Yerwa Bureau De Change Limited","Bureau De Change","","","C111, Ramat Shopping Complex, Maiduguri","Maiduguri","BOR","","","","","","NGN","Domestic","","5/25/2009",
"YKS Bureau De Change Limited","Bureau De Change","","6/11/2007","14B, Faggae Takudu, Gidan Rabiu Danbappa, ","","KAN","064-644094; 630155","","","","Kantin kwari, Kano","NGN","Domestic","","6/11/2007",
"Yomade Bureau De Change Limited","Bureau De Change","","6/22/2007","Rodeo Shopping Mall, 148, Obafemi Awolowo Way, Ike","","LAG","01-4973665; 4971427","","","","","NGN","Domestic","","6/22/2007",
"Yusma Bureau De Change Limited","Bureau De Change","","6/22/2007","20, Ibrahim Babangida Way,","","KAN","064-631848; 631967","","","","Kano,","NGN","Domestic","","6/22/2007",
"Zango Bureau De Change Limited","Bureau De Change","","9/17/2007","148, Awolowo Way","Ikeja ","LAG","08023084139; 08030666667","","","","","NGN","Domestic","","9/17/2007",
"Zatis Bureau De Change Limited","Bureau De Change","","8/10/2007","Suite 110, Plaza 307, Adeola Odeku Street,
Victori","","LAG","01-7917427; 8156767; 7936471","","","","","NGN","Domestic","","8/10/2007",
"Zaz Bureau De Change Limited","Bureau De Change","","6/22/2007","Fabdal Street, Plot 2219, Constantine Street,","","ABU","08027338135; 08055503306","","","","Suite 206, Wuse Zone 4,","NGN","Domestic","","6/22/2007",
"Zend Bureau De Change Limited","Bureau De Change","","","13, Kontagora Close, Area 11, Garki","Garki","ABU","","","","","","NGN","Domestic","","5/25/2009",
"Zikki Investments & Resources Limited (BDC)","Bureau De Change","","6/22/2007","Zone A, Block 4, Shop 106, Intl. Trade Fair Comple","","LAG","01-5895417; 2811620, 0803-7221021","","","","","NGN","Domestic","","6/22/2007",
"Zinini Bureau De Change Limited","Bureau De Change","","6/21/2007","4B, Sanni Adewale Street ","","LAG","01-2332932; 08023427133","","","","","NGN","Domestic","","6/21/2007",
"Zion Bureau De Change Limited","Bureau De Change","","2/22/2007","71, Allen Avenue","Ikeja ","LAG","07028371007; 08054077589","","","","","NGN","Domestic","","2/22/2007",
"Zirga Zirga Bureau De Change Limited","Bureau De Change","","6/22/2007","2nd Floor, 36, Breadfruit Street, Lagos Island","","LAG","","","","","","NGN","Domestic","","6/22/2007",
"Zodiac Bureau De Change Limited","Bureau De Change","","6/22/2007","Suite 14, 1st Floor, Opic Plaza, 52/54 Mobolaji Ba","","LAG","01-4964739; 8979050; 4966106","","","","","NGN","Domestic","","6/22/2007",
"Zube Bureau De Change","Bureau De Change","","6/22/2007","18, Ogui Road, Enugu","","ENU","","","","","","NGN","Domestic","","6/22/2007",
"Zumunci Bureau De Change Limited","Bureau De Change","","6/22/2007","3, Club Road, Gen. Moh'd Buhari Way, Former Waff R","","KAD","","","","","","NGN","Domestic","","6/22/2007",
"1069 BDC Ltd","Bureau De Change","","","Suite 1, Ground Floor, 24B Sikuru Alade Oloko Crescent, Lekki, Lagos","","LAG","","","","","","NGN","Domestic","","",
"19th BDC Ltd","Bureau De Change","","","105 Zoo Road, Gidan Dan Asabe","","KAN","08037053417, 08036528060","","","","","NGN","Domestic","","",
"2020 Wise BDC Ltd","Bureau De Change","","","No. 96/102 Broad Street, Lagos Island, Lagos","","LAG","","","","","","NGN","Domestic","","",
"A & C Bureau De Change","Bureau De Change","","","Block 9, Shop 1/2, Agric Market, Coker, Lagos","","LAG","01 - 7766812","","","","","NGN","Domestic","","",
"A Three BDC Ltd","Bureau De Change","","","No. 77 Opp NNPC Hotoro, Kano","","KAN","","","","","","NGN","Domestic","","",
"A. Maikore BDC Ltd","Bureau De Change","","","No. 200B, 1st floor, Fabdal Plaza, Zone 4, Wuse, Abuja","","ABU","","","","","","NGN","Domestic","","",
"A. Three BDC Ltd","Bureau De Change","","","No. 77 Opp NNPC Hotoro, Kano","","KAN","","","","","","NGN","Domestic","","",
"A.A.Rano BDC Ltd","Bureau De Change","","","No. 7, Opp NNPC Depot, Hotoro, Kano","","KAN","","","","","","NGN","Domestic","","",
"A.B.R Global BDC","Bureau De Change","","","53, Ibrahim Taiwo Road, Kano","","KAN","","","","","","NGN","Domestic","","",
"A.B.S. BDC Ltd","Bureau De Change","","","2nd floor, 290 Fabdal plaza, Wuse Zone 4, abuja","","ABU","","","","","","NGN","Domestic","","",
"A.L.B BDC Limited","Bureau De Change","","","No.62, Fagge D2,Wapa,Kano.","","KAN","8054514643","","","","","NGN","Domestic","","",
"A.M.M.S BDC","Bureau De Change","","","No.27, Sheikh Ahmed Tijani Shop,IBB Way by Kwali Market, Kano.","","KAN","8090993440","","","","","NGN","Domestic","","",
"A.S Darma BDC","Bureau De Change","","","No. 59, Murtala Mohammed Way, Kano","","KAN","","","","","","NGN","Domestic","","",
"A.S.R Global BDC Ltd","Bureau De Change","","","53, Ibrahim Taiwo Road, Kano","","KAN","8054514643","","","","","NGN","Domestic","","",
"Aa 1st Enterprise BDC","Bureau De Change","","","Suite D56 Dolphin Estate Plaza Ikoyi","","LAG","8033422163","","","","","NGN","Domestic","","",
"Ab International Venture BDC Limited","Bureau De Change","","","Suite 29, 1st Floor,Zaccade Plaza, Egbeda,Lagos","","LAG","8036022144","","","","","NGN","Domestic","","",
"Abalkali BDC Ltd","Bureau De Change","","","No. 26/27, Zungero Road, Kano","","KAN","","","","","","NGN","Domestic","","",
"Abd Global Resources Bureau De Change","Bureau De Change","","","Block C, Shopping Centre, Kingsway Apapa, Lagos","","LAG","8033482915","","","","","NGN","Domestic","","",
"Abdeco BDC Ltd","Bureau De Change","","","No. 25 Obi Village, MM. Local Airport, Ikeja, Lagos","","LAG","","","","","","NGN","Domestic","","",
"Abdiel BDC Ltd","Bureau De Change","","","No.11 Sokoto Street,Main Market,Onitsha,Anambra State.","","ANA","8037169374","","","","","NGN","Domestic","","",
"Abdul-Abdul BDC","Bureau De Change","","","No. 560, Tanko Shettima Road, Wapa Fagge","","KAN","","","","","","NGN","Domestic","","",
"Abdulmumini Rano BDC Ltd","Bureau De Change","","","No.11 Opposite NNPC, Hotoro, Kano","","KAN","","","","","","NGN","Domestic","","",
"Abhanas BDC","Bureau De Change","","","Suite 58, Nandu Plaza, beside Old CAC Head Office, Wuse Zone 5, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Abihali BDC","Bureau De Change","","","No. 4 Sani Adewale Street, Lagos","","LAG","8033676352","","","","","NGN","Domestic","","",
"Above & Beyond BDC Ltd","Bureau De Change","","","No.96/102,Broad Street, Lagos.","","LAG","8024919195","","","","","NGN","Domestic","","",
"ABS Forex BDC","Bureau De Change","","","Suite 53, Nandu Plaza, beside Old CACA Head Office, Wuse Zone 5, Abuja","","ABU","","","","","","NGN","Domestic","","",
"ABS Wadata BDC","Bureau De Change","","","No. 565 Glass House, Fagge Wapa, Kano","","KAN","8023229595","","","","","NGN","Domestic","","",
"Abtaj Bureau De Change Ltd","Bureau De Change","","","Suite 107, Fabdal Plaza, Wuse Zone 4, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Abuotu BDC Ltd","Bureau De Change","","","No. 1, Adeniyi Street, Surulere","","LAG","8023049030","","","","","NGN","Domestic","","",
"Abusufyan Int'l BDC","Bureau De Change","","","No.1, Baban Gida, Wapa Fagge","","KAN","","","","","","NGN","Domestic","","",
"ADA BDC Ltd","Bureau De Change","","","No.55,Suite 6 Ibrahim Taiwo,Kano State.","","KAN","8096071341","","","","","NGN","Domestic","","",
"Adcomteach BDC Ltd","Bureau De Change","","","N0.48,Wapa Whitehouse,Fagge D2,Kano.","","KAN","8061242590","","","","","NGN","Domestic","","",
"Addir BDC Ltd","Bureau De Change","","","Suite 2, No. 55, Ibrahim Taiwo Road, Kano","","KAN","","","","","","NGN","Domestic","","",
"Addiss BDC Ltd","Bureau De Change","","","Block D1,Suite 12,Sura Shopping Complex,Simpon Street,Lagos Island,Lagos","","LAG","8034708644","","","","","NGN","Domestic","","",
"Addon BDC","Bureau De Change","","","No.23/25 Abibu-Oke Street ,Lagos Island ,Lagos","","LAG","8024919195","","","","","NGN","Domestic","","",
"Adifa BDC","Bureau De Change","","","113B Samfa Plaza, Plot 2055 Ndola Crescent, Wuse Zone 5, Abuja","","ABU","8033148909","","","","","NGN","Domestic","","",
"Adila BDC Limited","Bureau De Change","","","No.5 Dapchim Street,Hausare,Maiduguri.","","BOR","816730477","","","","","NGN","Domestic","","",
"Adina -Adalia BDC Ltd","Bureau De Change","","","N0.128 Broad Street,Lagos Island,Lagos State","","LAG","8033852153","","","","","NGN","Domestic","","",
"Adolin BDC Ltd","Bureau De Change","","","Suit 005 Danyadado House, Area 2 garki.","","ABU","7052410288","","","","","NGN","Domestic","","",
"AEK BDC Ltd","Bureau De Change","","","Suite B13, Shakair Plaza, Michika Street, Area 11, Garki , Abuja","","ABU","","","","","","NGN","Domestic","","",
"Aerohouse BDC Ltd","Bureau De Change","","","No.7A,Oluwa Street,Off Kingsway Road Ikoyi,Lagos State.","","LAG","8066005099","","","","","NGN","Domestic","","",
"Aerosoft BDC","Bureau De Change","","","21/25, Broad Street, Lagos Island, Lagos.","","LAG","8032703235","","","","","NGN","Domestic","","",
"Afims BDC Ltd","Bureau De Change","","","107, Gidado Idris Street, Wuye District, Abuja","","ABU","","","","","","NGN","Domestic","","",
"Aforaku Advanced BDC","Bureau De Change","","","Shop G8, Block B, New Iddo Ultra-Modern Shopping Complex,Lagos","","LAG","","","","","","NGN","Domestic","","",
"Afresh BDC","Bureau De Change","","","Plot 2249, Addis Ababa Crescent, Zone 4, Abuja","","ABU","","","","","","NGN","Domestic","","",
